experiment,image_id,filename,method,transform,transform_parameters,alignment_mode,metric,metric_value,runtime_seconds,failure
geometric_sync_pilot_v1,000000000632,000000000632.jpg,dhash,scaling,"{""intensity"": 0.75}",oracle,hamming_distance,0,0.025451,
geometric_sync_pilot_v1,000000000632,000000000632.jpg,ahash,scaling,"{""intensity"": 0.75}",oracle,hamming_distance,0,0.024594,
geometric_sync_pilot_v1,000000000632,000000000632.jpg,whash,scaling,"{""intensity"": 0.75}",oracle,hamming_distance,0,0.030750,
geometric_sync_pilot_v1,000000000632,000000000632.jpg,phash,scaling,"{""intensity"": 0.75}",estimated,hamming_distance,,0.000838,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000632,000000000632.jpg,dhash,scaling,"{""intensity"": 0.75}",estimated,hamming_distance,,0.000443,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000632,000000000632.jpg,ahash,scaling,"{""intensity"": 0.75}",estimated,hamming_distance,,0.000400,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000632,000000000632.jpg,whash,scaling,"{""intensity"": 0.75}",estimated,hamming_distance,,0.000419,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000632,000000000632.jpg,phash,scaling,"{""intensity"": 1.5}",none,hamming_distance,0,0.059504,
geometric_sync_pilot_v1,000000000632,000000000632.jpg,dhash,scaling,"{""intensity"": 1.5}",none,hamming_distance,0,0.055531,
geometric_sync_pilot_v1,000000000632,000000000632.jpg,ahash,scaling,"{""intensity"": 1.5}",none,hamming_distance,0,0.058941,
geometric_sync_pilot_v1,000000000632,000000000632.jpg,whash,scaling,"{""intensity"": 1.5}",none,hamming_distance,0,0.048923,
geometric_sync_pilot_v1,000000000632,000000000632.jpg,phash,scaling,"{""intensity"": 1.5}",oracle,hamming_distance,2,0.032006,
geometric_sync_pilot_v1,000000000632,000000000632.jpg,dhash,scaling,"{""intensity"": 1.5}",oracle,hamming_distance,0,0.032394,
geometric_sync_pilot_v1,000000000632,000000000632.jpg,ahash,scaling,"{""intensity"": 1.5}",oracle,hamming_distance,0,0.033976,
geometric_sync_pilot_v1,000000000632,000000000632.jpg,whash,scaling,"{""intensity"": 1.5}",oracle,hamming_distance,0,0.031488,
geometric_sync_pilot_v1,000000000632,000000000632.jpg,phash,scaling,"{""intensity"": 1.5}",estimated,hamming_distance,,0.000814,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000632,000000000632.jpg,dhash,scaling,"{""intensity"": 1.5}",estimated,hamming_distance,,0.000566,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000632,000000000632.jpg,ahash,scaling,"{""intensity"": 1.5}",estimated,hamming_distance,,0.000508,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000632,000000000632.jpg,whash,scaling,"{""intensity"": 1.5}",estimated,hamming_distance,,0.000488,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000724,000000000724.jpg,phash,rotation,"{""intensity"": 5}",none,hamming_distance,7,0.017349,
geometric_sync_pilot_v1,000000000724,000000000724.jpg,dhash,rotation,"{""intensity"": 5}",none,hamming_distance,9,0.016706,
geometric_sync_pilot_v1,000000000724,000000000724.jpg,ahash,rotation,"{""intensity"": 5}",none,hamming_distance,2,0.015904,
geometric_sync_pilot_v1,000000000724,000000000724.jpg,whash,rotation,"{""intensity"": 5}",none,hamming_distance,3,0.014976,
geometric_sync_pilot_v1,000000000724,000000000724.jpg,phash,rotation,"{""intensity"": 5}",oracle,hamming_distance,6,0.013764,
geometric_sync_pilot_v1,000000000724,000000000724.jpg,dhash,rotation,"{""intensity"": 5}",oracle,hamming_distance,3,0.017940,
geometric_sync_pilot_v1,000000000724,000000000724.jpg,ahash,rotation,"{""intensity"": 5}",oracle,hamming_distance,1,0.013696,
geometric_sync_pilot_v1,000000000724,000000000724.jpg,whash,rotation,"{""intensity"": 5}",oracle,hamming_distance,4,0.015456,
geometric_sync_pilot_v1,000000000724,000000000724.jpg,phash,rotation,"{""intensity"": 5}",estimated,hamming_distance,,0.000925,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000724,000000000724.jpg,dhash,rotation,"{""intensity"": 5}",estimated,hamming_distance,,0.001060,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000724,000000000724.jpg,ahash,rotation,"{""intensity"": 5}",estimated,hamming_distance,,0.000786,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000724,000000000724.jpg,whash,rotation,"{""intensity"": 5}",estimated,hamming_distance,,0.000679,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000724,000000000724.jpg,phash,rotation,"{""intensity"": 20}",none,hamming_distance,15,0.015026,
geometric_sync_pilot_v1,000000000724,000000000724.jpg,dhash,rotation,"{""intensity"": 20}",none,hamming_distance,14,0.015444,
geometric_sync_pilot_v1,000000000724,000000000724.jpg,ahash,rotation,"{""intensity"": 20}",none,hamming_distance,12,0.013733,
geometric_sync_pilot_v1,000000000724,000000000724.jpg,whash,rotation,"{""intensity"": 20}",none,hamming_distance,12,0.014344,
geometric_sync_pilot_v1,000000000724,000000000724.jpg,phash,rotation,"{""intensity"": 20}",oracle,hamming_distance,9,0.015293,
geometric_sync_pilot_v1,000000000724,000000000724.jpg,dhash,rotation,"{""intensity"": 20}",oracle,hamming_distance,5,0.011998,
geometric_sync_pilot_v1,000000000724,000000000724.jpg,ahash,rotation,"{""intensity"": 20}",oracle,hamming_distance,8,0.013558,
geometric_sync_pilot_v1,000000000724,000000000724.jpg,whash,rotation,"{""intensity"": 20}",oracle,hamming_distance,8,0.012672,
geometric_sync_pilot_v1,000000000724,000000000724.jpg,phash,rotation,"{""intensity"": 20}",estimated,hamming_distance,,0.001063,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000724,000000000724.jpg,dhash,rotation,"{""intensity"": 20}",estimated,hamming_distance,,0.000757,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000724,000000000724.jpg,ahash,rotation,"{""intensity"": 20}",estimated,hamming_distance,,0.000682,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000724,000000000724.jpg,whash,rotation,"{""intensity"": 20}",estimated,hamming_distance,,0.000635,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000724,000000000724.jpg,phash,scaling,"{""intensity"": 0.75}",none,hamming_distance,0,0.012338,
